,display_name,MAC_Address,IP_Address,Discovery_Time,Analysis_Level,Bytes_In,Bytes_Out
0,RTMNB1392,68:54:5A:42:96:E5,10.21.246.101,2023-03-13 15:03:00,standard,0,0
1,C006940100,00:2B:67:3D:9C:6D,169.254.157.123,2023-03-13 14:48:00,standard,0,0
2,6e3-229,D4:3A:65:0D:2A:C0,172.22.151.3,2023-03-13 14:28:00,standard,0,0
3,Device be0516c6a3700000,BE:05:16:C6:A3:70,,2023-03-13 14:22:00,standard,0,0
4,Device 2047d2cf2c6c0000,20:47:D2:CF:2C:6C,192.168.180.49,2023-03-13 14:15:30,standard,174463394,174463394
5,Device 5477876f8af70000,54:77:87:6F:8A:F7,192.168.99.75,2023-03-13 13:54:30,standard,5275049338,5275049338
6,Device ce8ef15d72720000,CE:8E:F1:5D:72:72,192.168.88.53,2023-03-13 13:53:30,standard,94,94
7,Device 3200237eaf4e0000,32:00:23:7E:AF:4E,10.21.241.61,2023-03-13 13:38:30,standard,762,762
8,Device a2437502d4bb0000,A2:43:75:02:D4:BB,169.254.9.252,2023-03-13 13:31:30,standard,0,0
9,Device 82ceedec5e8a0000,82:CE:ED:EC:5E:8A,192.168.99.74,2023-03-13 13:27:00,standard,0,0
10,MiWiFi-RB02,A4:39:B3:8F:28:CF,192.168.99.71,2023-03-13 13:13:30,standard,428430,428430
11,Device bec5003d3edf0000,BE:C5:00:3D:3E:DF,192.168.88.23,2023-03-13 13:10:30,standard,188,188
12,290-6eb,00:E0:4C:68:C3:BC,172.26.6.12,2023-03-13 13:07:30,standard,3456,3456
13,Remote 172.29.118.38,,172.29.118.38,2023-03-13 12:33:30,standard,32056,32056
14,Device c22af152858d0000,C2:2A:F1:52:85:8D,10.21.233.3,2023-03-13 12:01:30,standard,32083662,32083662
15,Pixel-6a,72:5B:14:B3:CE:F2,,2023-03-13 11:38:00,standard,497,497
16,DESKTOP-GHM8G1M,9C:2D:CD:53:C4:09,10.10.40.103,2023-03-13 11:36:00,standard,553129029,553129029
17,R060471100,DE:D6:0C:A8:D3:42,172.26.76.21,2023-03-13 11:16:30,standard,36567047,36567047
18,Device 22b6ef0690da0000,22:B6:EF:06:90:DA,172.26.16.15,2023-03-13 11:11:00,standard,51020,51020
19,a30-801,00:E0:4C:D3:EB:B5,172.22.151.2,2023-03-13 11:07:30,standard,0,0
20,5d5-bb1,C8:7F:54:2D:5B:D9,,2023-03-13 11:04:30,standard,0,0
21,R073920100,60:6D:3C:6C:BD:37,192.168.99.45,2023-03-13 10:46:30,standard,0,0
22,DESKTOP-32O4RK2,5C:51:4F:2B:79:4C,172.26.11.22,2023-03-13 10:32:00,standard,226935,226935
23,linxihongdeMBP,A4:5E:60:BA:1D:A7,172.26.76.20,2023-03-13 10:31:30,standard,52484843,52484843
24,DESKTOP-D5JKCJU,70:5D:CC:F4:39:37,169.254.236.229,2023-03-13 10:24:30,standard,0,0
